AT,'<br> Österreichischer Einheitskontenrahmen / Kontenplan (ÖSV Österreichischer Steuerverein)<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>','General Index of Financial Information  (AT)'
BE,'<br> contribué par Jens-Ingo Brodesser\, jens-ingo@all2all.org\, Moving Art Studio ASBL\, ALL2ALL The Independent Network<br> le 15/07/2003','General Index of Financial Information  (BE)'
en_CA,'<br> It's a dirty job\, but it seems somebody allready did it<br> PDF Tammes\, Tue \, 02 Apr 2002<br> remarks or questions to finance@bermuda-holding.com<br><br> From the GIFI documentation: <br><br> The GIFI information has to balance. We use the following rules to verify the information you provide.<br> total assets = total liabilities + total shareholder equity<br> total revenue - total expenses = net non-farming income<br> total farm revenue - total farm expenses = net farm income<br> <br> You have to provide certain line items so that we can verify the above equations. Each GIFI must include:<br> balance sheet<br> Item 2599  Total assets<br> Item 3499  Total liabilities<br> Item 3620  Total shareholder equity<br> non-farming income and expenses<br> Item 8299  Total revenue<br> Item 9368  Total expenses <br> and/or <br> farming income and expenses<br> Item 9659  Total farm revenue<br> Item 9898  Total farm expenses<br> when reporting a breakdown of retained earnings<br> Item 3849  Retained earnings/deficit end<br> extraordinary items and income taxes<br> Item 9999  Net income/loss after taxes and extraordinary items<br> If the amount of a required item is NIL\, you have to enter 0.<br><br> This item represents the net amount of:<br> Item 9970 - Net income/loss before taxes and extraordinary items minus <br> Item 9975 - Extraordinary item(s) minus <br> Item 9976 - Legal settlements plus<br> Item 9980 - Unrealized gains/losses minus<br> Item 9985 - Unusual items minus<br> Item 9990 - Current income taxes minus<br> Item 9995 - Deferred income tax provision<br> and must be reported.<br> Any amount reported in this item should be equal to the amount reported at Item 3680 - Net income/loss\, <br> in the retained earnings section. <br>','GIFI codes as set by the Canadian Government (CA)'
fr_CA,'<br> Céline des Ligneris<br> checked DS. March 3\, 2004<br>','French Canadian GIFI (CA)'
CO,'<br><br><br>','Data for Plan Ãnico de Cuentas (PUC) Gifi Table (CO)'
DE,'<br> Einfacher Kontoplan für Deutschland<br>','General Index of Financial Information  (DE)'
DE_DATEV,'<br> DATEV SKR03<br>','General Index of Financial Information  (DE)'
DE_SKR03,'<br> Kontenrahmen für Deutschland<br>','General Index of Financial Information  (DE)'
HU,'<br>','Hungarian GIFI / Magyar gyûjtõkódok -- amelyek csak példaként szolgálnak (HU)'
IT,'<br> Oct 8\, 2003<br> verified D Simader<br> Oct 13\, 2003<br> updated Daniele Giacomini\, daniele@swlibero.org (extended some descriptions\, to avoid ambiguities)<br>','General Index of Financial Information  (IT)'
PY,'<br> Plan de Cuentas Fiscal para Paraguay<br>','Paraguay GIFI (PY)'
CH,'<br>','General Index of Financial Information  (CH)'
